id,均分,提交次数,测试用例个数,答案代码行数
2070,53.279016393442625,122,3,15
2111,80.63081081081081,74,3,22
2099,88.59649122807018,57,4,11
2110,80.09940298507462,67,3,11
2153,76.95537037037037,162,3,25
2098,60.78436974789916,119,3,11
2097,70.37037037037037,81,4,37
2096,93.75,56,2,15
2095,83.92857142857143,56,2,21
2094,80.8641975308642,81,4,10
2093,85.34482758620689,58,2,26
2108,81.11116666666666,60,3,17
2106,78.26115942028986,69,3,41
2127,80.36575342465754,73,3,13
2105,75.0,60,1,7
2069,97.16981132075472,53,2,18
2068,67.6470588235294,85,2,15
2109,90.39542372881355,59,3,10
2067,82.6923076923077,65,4,29
2584,93.6842105263158,133,5,13
2100,95.06166666666667,54,3,9
2122,97.916875,48,3,24
2121,61.93181818181818,88,4,21
2065,71.5909090909091,88,4,14
2120,83.85453125000001,64,3,12
2064,74.12790697674419,86,4,17
2063,82.64876712328767,73,3,17
2117,91.0,50,2,8
2116,82.14285714285714,56,1,18
2114,95.06203703703704,54,3,18
2113,55.747126436781606,87,4,40
2134,91.66666666666667,66,2,9
2126,75.75727272727272,66,3,26
2119,83.05067796610169,59,3,19
2133,93.19734693877551,49,3,13
2155,80.76923076923077,52,1,90
2154,97.95938775510204,49,3,17
2132,78.18181818181819,55,2,19
2230,93.61702127659575,47,2,23
2131,81.0,50,4,18
2130,77.11267605633803,71,4,13
2107,95.23816326530613,49,3,10
2129,87.71929824561404,57,4,15
2128,85.84905660377359,53,2,18
2227,57.638645833333335,96,3,14
2226,84.61538461538461,52,3,21
2102,95.74468085106383,47,2,21
2223,67.0584705882353,85,4,10
2245,95.5,50,4,17
2101,91.82377358490565,53,3,17
2123,93.86792452830188,53,4,6
2240,75.75757575757575,99,4,31
2161,95.83333333333333,48,2,18
2160,84.54545454545455,55,2,15
2218,74.479375,64,3,10
2118,93.51851851851852,54,4,9
2215,77.35849056603773,53,3,35
2138,86.53846153846153,52,2,31
2137,93.39622641509433,53,4,6
2159,89.0625,48,4,29
2158,76.92307692307692,65,4,14
2136,93.3334,50,3,14
2157,79.66101694915254,59,4,17
2135,87.42150943396227,53,3,18
2112,86.27450980392157,51,2,9
2156,95.65217391304348,46,1,90
2219,79.03225806451613,62,4,22
2251,63.63636363636363,88,1,20
2328,63.275862068965516,116,5,18
2229,83.92875000000001,56,3,16
2327,59.94444444444444,90,4,21
2228,78.83619047619048,63,3,13
2249,71.52777777777777,72,4,13
2325,59.710144927536234,138,5,35
2248,70.88607594936708,79,4,12
2247,75.47945205479452,73,2,34
2225,66.20375,72,3,24
2323,70.37037037037037,81,5,20
2224,56.481203703703706,108,3,16
2246,78.57142857142857,70,5,10
2244,69.5945945945946,74,4,26
2222,64.95412844036697,109,5,24
2243,78.78757575757575,66,3,11
2320,55.79831932773109,119,5,15
2166,37.07692307692308,130,5,21
2242,84.65619047619047,63,3,16
2241,88.15789473684211,57,4,19
2163,53.40909090909091,88,2,26
2162,53.96851851851852,189,3,15
2317,78.85714285714286,70,5,13
2217,83.95055555555555,54,3,32
2216,66.04938271604938,162,4,34
2238,74.47921875,64,3,23
2335,75.53072625698324,179,5,35
2214,72.13970149253733,67,3,10
2334,65.06024096385542,83,4,22
2333,50.49586776859504,121,4,35
2376,65.5379746835443,158,4,15
2277,66.28571428571429,105,5,13
2319,59.00990099009901,101,5,20
2092,25.85287401574803,254,9,64
2276,64.25925925925925,81,4,43
2275,54.87792682926829,82,3,28
2330,37.33766233766234,154,4,30
2250,66.86746987951807,83,2,52
2370,68.35820895522389,67,5,15
2403,71.51515151515152,66,5,18
2326,69.06666666666666,75,5,36
2402,90.9090909090909,44,1,28
2401,75.86206896551724,58,5,16
2324,70.8641975308642,81,5,26
2367,80.83333333333333,72,5,19
2421,70.25118279569894,93,6,20
2322,62.278481012658226,79,5,20
2420,73.99060606060607,66,6,17
2442,74.54545454545455,66,5,14
2321,53.27731092436975,119,5,38
2409,67.95454545454545,88,5,16
2408,67.36842105263158,95,5,31
2407,69.58904109589041,73,5,10
2329,63.098591549295776,71,5,36
2364,79.66101694915254,59,5,21
2363,75.59322033898304,59,5,18
2362,73.05945205479452,73,6,9
2360,77.74193548387096,62,5,23
2381,55.24666666666666,81,3,34
2239,68.81720430107526,93,4,27
2379,73.42857142857143,70,5,26
2411,66.66666666666667,81,4,26
2377,53.191382978723404,94,3,29
2332,76.98412698412699,63,4,18
2419,81.11111111111111,54,5,17
2518,70.0,82,5,44
2595,89.85507246376811,69,4,3
2452,82.66666666666667,75,5,48
2625,73.50877192982456,114,5,27
2624,72.15189873417721,79,5,17
2623,87.22222222222223,72,5,37
2622,67.02127659574468,141,6,10
2621,77.85714285714286,84,5,15
2620,85.71428571428571,70,2,6
2587,82.97297297297297,74,5,13
2586,88.2051282051282,78,5,9
2585,85.5,80,5,19
2608,55.42857142857143,105,5,31
2628,83.87983606557377,61,3,17
2627,55.76345794392523,107,3,10
2901,85.18518518518519,81,4,10
2626,84.44444444444444,72,5,17
2583,80.74074074074075,81,5,30
2582,92.06349206349206,63,5,25
2361,85.83333333333333,72,5,23
2581,90.65651515151515,66,6,17
2580,77.27272727272727,88,5,26
2899,90.28571428571429,70,5,12
2613,67.816091954023,87,4,36
2414,81.3157894736842,76,5,6
2612,86.74698795180723,83,4,21
2413,74.48275862068965,87,5,14
2895,93.07692307692308,65,2,8
2410,69.54954954954955,111,5,13
2619,82.58716417910448,67,3,30
2418,82.59740259740259,77,5,11
2616,87.5,64,4,3
2417,92.94117647058823,68,5,17
2588,58.57142857142857,105,4,69
